,Symbol,Side,Cxl,Quantity,Price,Bid,Ask,TDats,Dats,DatsTradeID,TradeTime,TradeSS,TradeCommType,SourceCommison,Account,OrderID,GTL,TrailerInfo,TrailerSymbol,Clr,TrailerID,Unkown
0,CERS,SS,NEW,2756,2.4,2.34,2.45,1406,1917061,49900003,09:30,CustSS,704,PerUnit,TERM,0.01,AABBC,1706149900003,GSCO,0,256945,854300
1,CERS,SS,NEW,100,2.36,2.36,2.37,1406,1917061,49900003,10:20,ContraSSFREX,704,PerUnit,TERM,0.01,AABBC,1706149900003,CERS,4,866087,854300
2,CERS,SS,NEW,200,2.35,2.35,2.37,1406,1917061,49900003,10:20,ContraSSFREX,704,PerUnit,TERM,0.01,AABBC,1706149900003,CERS,4,866096,854300
3,CERS,SS,NEW,100,2.35,2.35,2.36,1406,1917061,49900003,10:20,ContraSSFREX,704,PerUnit,TERM,0.01,AABBC,1706149900003,CERS,23,869780,854300
4,CERS,SS,NEW,100,2.35,2.35,2.36,1406,1917061,49900003,10:22,ContraSSFREX,704,PerUnit,TERM,0.01,AABBC,1706149900003,CERS,29,892888,854300
5,CERS,SS,NEW,100,2.36,2.36,2.36,1406,1917061,49900003,10:24,ContraSSFREX,704,PerUnit,TERM,0.01,AABBC,1706149900003,CERS,1,909119,854300
6,CERS,SS,NEW,100,2.36,2.36,2.36,1406,1917061,49900003,10:24,ContraSSFREX,704,PerUnit,TERM,0.01,AABBC,1706149900003,CERS,1,909128,854300
7,CERS,SS,NEW,100,2.36,2.36,2.36,1406,1917061,49900003,10:24,ContraSSFREX,704,PerUnit,TERM,0.01,AABBC,1706149900003,CERS,1,909140,854300
8,CERS,SS,NEW,100,2.36,2.36,2.36,1406,1917061,49900003,10:24,ContraSSFREX,704,PerUnit,TERM,0.01,AABBC,1706149900003,CERS,1,909143,854300
9,CERS,SS,NEW,100,2.36,2.36,2.36,1406,1917061,49900003,10:24,ContraSSFREX,704,PerUnit,TERM,0.01,AABBC,1706149900003,CERS,1,909148,854300
10,CERS,SS,NEW,100,2.36,2.36,2.36,1406,1917061,49900003,10:24,ContraSSFREX,704,PerUnit,TERM,0.01,AABBC,1706149900003,CERS,2,909154,854300
11,CERS,SS,NEW,100,2.36,2.36,2.36,1406,1917061,49900003,10:24,ContraSSFREX,704,PerUnit,TERM,0.01,AABBC,1706149900003,CERS,2,909168,854300
12,CERS,SS,NEW,100,2.36,2.36,2.36,1406,1917061,49900003,10:24,ContraSSFREX,704,PerUnit,TERM,0.01,AABBC,1706149900003,CERS,2,909177,854300
13,CERS,SS,NEW,100,2.365,2.36,2.36,1406,1917061,49900003,10:24,ContraSSFREX,704,PerUnit,TERM,0.01,AABBC,1706149900003,CERS,2,909188,854300
14,CERS,SS,NEW,300,2.36,2.36,2.36,1406,1917061,49900003,10:24,ContraSSFREX,704,PerUnit,TERM,0.01,AABBC,1706149900003,CERS,2,909190,854300
15,CERS,SS,NEW,200,2.36,2.36,2.36,1406,1917061,49900003,10:24,ContraSSFREX,704,PerUnit,TERM,0.01,AABBC,1706149900003,CERS,2,909193,854300
16,CERS,SS,NEW,100,2.36,2.36,2.36,1406,1917061,49900003,10:24,ContraSSFREX,704,PerUnit,TERM,0.01,AABBC,1706149900003,CERS,2,909196,854300
17,CERS,SS,NEW,300,2.36,2.36,2.36,1406,1917061,49900003,10:24,ContraSSFREX,704,PerUnit,TERM,0.01,AABBC,1706149900003,CERS,2,909219,854300
18,CERS,SS,NEW,100,2.36,2.36,2.36,1406,1917061,49900003,10:24,ContraSSFREX,704,PerUnit,TERM,0.01,AABBC,1706149900003,CERS,2,909224,854300
19,CERS,SS,NEW,100,2.365,2.36,2.37,1406,1917061,49900003,10:24,ContraSSFREX,704,PerUnit,TERM,0.01,AABBC,1706149900003,CERS,4,909672,854300
20,CERS,SS,NEW,100,2.36,2.36,2.37,1406,1917061,49900003,10:24,ContraSSFREX,704,PerUnit,TERM,0.01,AABBC,1706149900003,CERS,11,910892,854300
21,CERS,SS,NEW,100,2.365,2.36,2.37,1406,1917061,49900003,10:25,ContraSSFREX,704,PerUnit,TERM,0.01,AABBC,1706149900003,CERS,59,930540,854300
22,CERS,SS,NEW,100,2.365,2.36,2.37,1406,1917061,49900003,10:27,ContraSSFREX,704,PerUnit,TERM,0.01,AABBC,1706149900003,CERS,2,939982,854300
23,CERS,SS,NEW,100,2.36,2.36,2.37,1406,1917061,49900003,10:27,ContraSSFREX,704,PerUnit,TERM,0.01,AABBC,1706149900003,CERS,2,939993,854300
24,CERS,SS,NEW,100,2.365,2.36,2.37,1406,1917061,49900003,10:27,ContraSSFREX,704,PerUnit,TERM,0.01,AABBC,1706149900003,CERS,2,939995,854300
25,CERS,SS,NEW,100,2.36,2.36,2.37,1406,1917061,49900003,10:27,ContraSSFREX,704,PerUnit,TERM,0.01,AABBC,1706149900003,CERS,2,939998,854300
26,CERS,SS,NEW,100,2.36,2.36,2.37,1406,1917061,49900003,10:27,ContraSSFREX,704,PerUnit,TERM,0.01,AABBC,1706149900003,CERS,31,944321,854300
27,CERS,SS,NEW,100,2.36,2.36,2.37,1406,1917061,49900003,10:29,ContraSSFREX,704,PerUnit,TERM,0.01,AABBC,1706149900003,CERS,30,960876,854300
28,CERS,SS,NEW,100,2.36,2.36,2.37,1406,1917061,49900003,10:30,ContraSSFREX,704,PerUnit,TERM,0.01,AABBC,1706149900003,CERS,0,969012,854300
